time,headline,cRIC,ticker,CompanyName,input
2025-04-14 11:13:02.060,ASTERA LABS INC <ALAB.O>: CITIGROUP CUTS TARGET PRICE TO $100 FROM $120,ALAB.O,ALAB,"Astera Labs, Inc.","Astera Labs, Inc.: ASTERA LABS INC <ALAB.O>: CITIGROUP CUTS TARGET PRICE TO $100 FROM $120"
2025-08-13 13:33:09.349,COREWEAVE SHARES DOWN 11.8% AFTER BIGGER QUARTERLY LOSS,CRWV.O,CRWV,"CoreWeave, Inc.","CoreWeave, Inc.: COREWEAVE SHARES DOWN 11.8% AFTER BIGGER QUARTERLY LOSS"
2025-05-07 16:45:00.390,"CADENCE UNVEILS MILLENNIUM M2000 SUPERCOMPUTER WITH NVIDIA BLACKWELL SYSTEMS TO TRANSFORM AI-DRIVEN SILICON, SYSTEMS AND DRUG DESIGN",CDNS.O,CDNS,"Cadence Design Systems, Inc.","Cadence Design Systems, Inc.: CADENCE UNVEILS MILLENNIUM M2000 SUPERCOMPUTER WITH NVIDIA BLACKWELL SYSTEMS TO TRANSFORM AI-DRIVEN SILICON, SYSTEMS AND DRUG DESIGN"
2025-11-04 12:18:16.000,"BUZZ-Uber slips, forecasts Q4 adjusted core profit marginally below estimates",UBER.N,UBER,"Uber Technologies, Inc.","Uber Technologies, Inc.: BUZZ-Uber slips, forecasts Q4 adjusted core profit marginally below estimates"
2024-11-05 11:01:42.000,MORNING BID AMERICAS-World markets firm as America decides,MU.O,MU,"Micron Technology, Inc.","Micron Technology, Inc.: MORNING BID AMERICAS-World markets firm as America decides"
2025-03-17 13:00:01.739,STMICROELECTRONICS ANNOUNCES STATUS OF COMMON SHARE REPURCHASE PROGRAM,STM.N,STM,STMicroelectronics N.V.,STMicroelectronics N.V.: STMICROELECTRONICS ANNOUNCES STATUS OF COMMON SHARE REPURCHASE PROGRAM
2025-05-21 19:50:08.129,NYSE ORDER IMBALANCE <UBER.N> 563571.0 SHARES ON BUY SIDE,UBER.N,UBER,"Uber Technologies, Inc.","Uber Technologies, Inc.: NYSE ORDER IMBALANCE <UBER.N> 563571.0 SHARES ON BUY SIDE"
2025-02-26 09:14:27.000,"ALIBABA UP 2.9%, PDD HOLDINGS UP 3.9%, NETEASE UP 3.4%, BAIDU UP 2.5%, JD.COM UP 7.1%",BIDU.O,BIDU,"Baidu, Inc.","Baidu, Inc.: ALIBABA UP 2.9%, PDD HOLDINGS UP 3.9%, NETEASE UP 3.4%, BAIDU UP 2.5%, JD.COM UP 7.1%"
2025-10-16 13:00:00.000,"WAYMO: IN COMING MONTHS, DOORDASH CUSTOMERS MAY BE MATCHED WITH FULLY AUTONOMOUS WAYMO VEHICLE FOR DELIVERY IN PHOENIX SERVICE AREA",GOOGL.O,GOOGL,Alphabet Inc.,"Alphabet Inc.: WAYMO: IN COMING MONTHS, DOORDASH CUSTOMERS MAY BE MATCHED WITH FULLY AUTONOMOUS WAYMO VEHICLE FOR DELIVERY IN PHOENIX SERVICE AREA"
2025-02-28 20:50:43.604,NYSE ORDER IMBALANCE <TYL.N> 18610.0 SHARES ON SELL SIDE,TYL.N,TYL,"Tyler Technologies, Inc.","Tyler Technologies, Inc.: NYSE ORDER IMBALANCE <TYL.N> 18610.0 SHARES ON SELL SIDE"
2025-10-28 10:06:41.000,BREAKINGVIEWS-Nokia’s AI side hustle can offset its telco torpor,ERIC.O,ERIC,Ericsson,Ericsson: BREAKINGVIEWS-Nokia’s AI side hustle can offset its telco torpor
2025-06-05 20:15:58.232,SHARES OF BROADCOM DOWN 2% IN EXTENDED TRADE AFTER QUARTERLY REPORT,AVGO.O,AVGO,Broadcom Inc.,Broadcom Inc.: SHARES OF BROADCOM DOWN 2% IN EXTENDED TRADE AFTER QUARTERLY REPORT
2024-11-07 21:01:14.034,"AKAMAI Q3 REVENUE USD 1,004.679 MILLION VS. IBES ESTIMATE USD 999 MILLION",AKAM.O,AKAM,"Akamai Technologies, Inc.","Akamai Technologies, Inc.: AKAMAI Q3 REVENUE USD 1,004.679 MILLION VS. IBES ESTIMATE USD 999 MILLION"
2025-04-08 10:01:34.816,"INTERNATIONAL BUSINESS MACHINES CORP - Z17 AVAILABLE JUNE 18, 2025",IBM.N,IBM,International Business Machines,"International Business Machines: INTERNATIONAL BUSINESS MACHINES CORP - Z17 AVAILABLE JUNE 18, 2025"
2025-10-14 11:33:04.000,BRIEF-Parkervision Inc Files Motion To Expedite Appeal In Qualcomm Patent Case,QCOM.O,QCOM,QUALCOMM Incorporated,QUALCOMM Incorporated: BRIEF-Parkervision Inc Files Motion To Expedite Appeal In Qualcomm Patent Case
2025-10-06 11:07:52.000,BUZZ-AMD jumps after announcing multi-year deal with OpenAI,AMD.O,AMD,"Advanced Micro Devices, Inc.","Advanced Micro Devices, Inc.: BUZZ-AMD jumps after announcing multi-year deal with OpenAI"
2024-11-06 10:02:53.000,MICROCHIP TECHNOLOGY SHARES FALL 2.3% PREMARKET AFTER CO FORECASTS Q3 RESULTS BELOW ESTIMATES,MCHP.O,MCHP,Microchip Technology Incorporat,Microchip Technology Incorporat: MICROCHIP TECHNOLOGY SHARES FALL 2.3% PREMARKET AFTER CO FORECASTS Q3 RESULTS BELOW ESTIMATES
2025-07-30 21:58:21.000,BRIEF-Figma Expected To Price IPO Above Range At $33 Per Share - Bloomberg News,FIG.N,FIG,"Figma, Inc.","Figma, Inc.: BRIEF-Figma Expected To Price IPO Above Range At $33 Per Share - Bloomberg News"
2025-11-19 17:53:02.000,BREAKINGVIEWS-AI understudies bask in a flickering spotlight,CSCO.O,CSCO,"Cisco Systems, Inc.","Cisco Systems, Inc.: BREAKINGVIEWS-AI understudies bask in a flickering spotlight"
2025-01-31 11:49:49.657,KLA CORPORATION  <KLAC.O>: DEUTSCHE BANK RAISES TARGET PRICE TO $850 FROM $725,KLAC.O,KLAC,KLA Corporation,KLA Corporation: KLA CORPORATION  <KLAC.O>: DEUTSCHE BANK RAISES TARGET PRICE TO $850 FROM $725
2025-01-24 21:36:20.000,US STOCKS-Wall St slips with mixed data and earnings ahead of Fed week,VZ.N,VZ,Verizon Communications Inc.,Verizon Communications Inc.: US STOCKS-Wall St slips with mixed data and earnings ahead of Fed week
2024-11-12 21:04:26.701,SHARES OF SPOTIFY RISE 9% IN EXTENDED TRADE,SPOT.N,SPOT,Spotify Technology S.A.,Spotify Technology S.A.: SHARES OF SPOTIFY RISE 9% IN EXTENDED TRADE
2025-11-12 12:00:06.246,GLOBALFOUNDRIES Q3 GROSS MARGIN 24.8%,GFS.O,GFS,GlobalFoundries Inc.,GlobalFoundries Inc.: GLOBALFOUNDRIES Q3 GROSS MARGIN 24.8%
